state_code,derived_race,derived_ethnicity,derived_sex,applicant_age,derived_loan_product_type,funnel_stage,leakage_category,denial_reason_label,is_approved_not_converted,income_band,loan_amount_band,property_value_band,ltv_band,rate_spread_band,dti_band,area_median_income_band,n_aplicaciones,total_loan_amount,total_income,n_con_income,total_rate_spread,n_con_rate_spread,total_origination_charges,n_con_origination_charges,total_interest_rate,n_con_interest_rate,total_loan_costs_sum,n_con_total_loan_costs,total_discount_points,n_con_discount_points,total_property_value,n_con_property_value
WA,White,Not Hispanic or Latino,Female,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Mejor que el mercado (<0),Medio (30%-50%),Alto,2,750000.0,169.0,2,-1.001,2,20565.54,2,11.875,2,26526.42,2,18420.54,2,780000.0,2
WA,White,Not Hispanic or Latino,Joint,45-54,FHA:First Lien,Denied,Risk-based leakage,Credit application incomplete,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,375000.0,138.0,1,,0,,0,,0,,0,,0,385000.0,1
TX,American Indian or Alaska Native,Not Hispanic or Latino,Male,65-74,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,1,65000.0,40.0,1,,0,,0,,0,,0,,0,,0
TX,Asian,Not Hispanic or Latino,Male,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Bajo (<30%),Medio,3,2055000.0,1401.0,3,1.008,3,5930.5,3,19.625,3,22055.26,3,4538.75,2,3835000.0,3
TX,White,Not Hispanic or Latino,Male,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Mejor que el mercado (<0),Medio (30%-50%),Bajo,4,1840000.0,505.0,4,-1.7159999999999995,4,29504.0,4,25.624,4,45320.39,4,21384.0,3,2140000.0,4
TX,Black or African American,Not Hispanic or Latino,Female,35-44,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Mejor que el mercado (<0),Alto (50%+),Bajo,42,13700000.0,3960.0,42,-30.6,42,95944.05000000002,42,221.792,42,493697.61,42,201058.15,31,13970000.0,42
TX,Black or African American,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,845000.0,379.0,1,,0,,0,,0,,0,,0,1055000.0,1
NY,American Indian or Alaska Native,Not Hispanic or Latino,Joint,45-54,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Mejor que el mercado (<0),Medio (30%-50%),Medio,1,645000.0,129.0,1,-0.099,1,17686.24,1,6.375,1,32733.99,1,12065.23,1,655000.0,1
NY,Black or African American,Hispanic or Latino,Male,25-34,FHA:First Lien,Denied,Risk-based leakage,Other,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Medio,1,495000.0,117.0,1,,0,,0,,0,,0,,0,645000.0,1
NY,Race Not Available,Ethnicity Not Available,Sex Not Available,45-54,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,1,195000.0,52.0,1,0.138,1,0.0,1,5.75,1,3383.24,1,2213.0,1,205000.0,1
NY,White,Not Hispanic or Latino,Joint,35-44,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Alto (50%+),Bajo,9,2675000.0,893.0,9,7.5799,9,55643.92999999999,9,59.998999999999995,9,130476.55,9,14014.7,4,2745000.0,9
NC,White,Not Hispanic or Latino,Joint,<25,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,1,485000.0,103.0,1,0.271,1,1495.0,1,6.625,1,4056.55,1,,0,485000.0,1
NC,Black or African American,Ethnicity Not Available,Joint,35-44,Conventional:Subordinate Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Bajo (<$76K),Bajo (<$205K),Medio ($265K-$485K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,55000.0,55.0,1,,0,,0,,0,,0,,0,325000.0,1
NC,White,Not Hispanic or Latino,Female,65-74,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,1,315000.0,69.0,1,,0,,0,,0,,0,,0,,0
TX,Race Not Available,Ethnicity Not Available,Female,65-74,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,5,505000.0,211.0,5,,0,,0,,0,,0,,0,,0
TX,Joint,Joint,Joint,25-34,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Mejor que el mercado (<0),Alto (50%+),Bajo,20,6300000.0,2044.0,20,-18.072,20,15993.590000000002,20,110.299,20,140376.9,20,68902.26,15,6230000.0,20
TX,Asian,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Preapproval approved not accepted,Process-based leakage,Not applicable,True,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Sin dato de área,1,725000.0,414.0,1,,0,,0,7.125,1,,0,,0,905000.0,1
TX,Asian,Not Hispanic or Latino,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Medio,2,200000.0,245.0,2,-2.201,2,0.0,2,10.875,2,2282.95,2,,0,1120000.0,2
TX,Race Not Available,Not Hispanic or Latino,Female,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,4,1470000.0,483.0,4,,0,,0,,0,,0,,0,,0
MI,Asian,Not Hispanic or Latino,Female,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Bajo (<30%),Medio,1,475000.0,190.0,1,0.814,1,1917.7,1,6.99,1,4606.2,1,477.7,1,565000.0,1
MI,Asian,Not Hispanic or Latino,Male,55-64,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Alto (50%+),Medio,1,295000.0,78.0,1,0.664,1,1350.58,1,6.125,1,8857.38,1,368.08,1,295000.0,1
MI,White,Not Hispanic or Latino,Joint,>74,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,2,410000.0,220.0,2,0.6829999999999999,2,2172.5,2,13.625,2,6293.2,2,,0,510000.0,2
CA,Race Not Available,Ethnicity Not Available,Sex Not Available,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,840000.0,248.0,2,1.6760000000000002,2,22662.13,2,14.375,2,30034.15,2,,0,870000.0,2
NJ,Race Not Available,Ethnicity Not Available,Female,55-64,Conventional:First Lien,Approved not accepted,Process-based leakage,Not applicable,True,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,35000.0,40.0,1,,0,,0,9.25,1,,0,,0,45000.0,1
NC,Black or African American,Not Hispanic or Latino,Joint,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Medio,1,125000.0,52.0,1,-0.181,1,770.0,1,6.125,1,2654.42,1,,0,205000.0,1
NC,Black or African American,Not Hispanic or Latino,Joint,35-44,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Alto (50%+),Medio,1,285000.0,64.0,1,0.768,1,7689.5,1,6.875,1,15316.19,1,,0,345000.0,1
NC,White,Joint,Joint,25-34,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,2,1010000.0,265.0,2,,0,,0,,0,,0,,0,,0
NC,White,Not Hispanic or Latino,Joint,65-74,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,2,790000.0,221.0,2,0.97352,2,5295.35,2,14.24,2,8481.97,2,913.35,1,980000.0,2
NC,Joint,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Medio (30%-50%),Medio,2,570000.0,388.0,2,0.938,2,3154.0,2,15.2,2,7869.1,2,1100.0,1,1110000.0,2
TX,Joint,Not Hispanic or Latino,Joint,25-34,VA:First Lien,Denied,Risk-based leakage,Credit history,False,Medio ($76K-$146K),Alto ($405K+),Medio ($265K-$485K),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Alto (50%+),Bajo,1,485000.0,121.0,1,,0,,0,,0,,0,,0,475000.0,1
TX,White,Not Hispanic or Latino,Joint,65-74,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Bajo (<$76K),Bajo (<$205K),Medio ($265K-$485K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Medio,1,105000.0,38.0,1,,0,,0,,0,,0,,0,295000.0,1
TX,White,Hispanic or Latino,Female,45-54,Conventional:Subordinate Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Bajo,1,5000.0,38.0,1,,0,,0,,0,,0,,0,115000.0,1
MI,Race Not Available,Ethnicity Not Available,Sex Not Available,25-34,FHA:First Lien,Denied,Risk-based leakage,Unverifiable information,False,Medio ($76K-$146K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Medio,1,145000.0,104.0,1,,0,,0,,0,,0,,0,155000.0,1
MI,Race Not Available,Hispanic or Latino,Male,25-34,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,1,145000.0,90.0,1,,0,,0,,0,,0,,0,,0
MI,White,Joint,Joint,35-44,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Bajo,6,1410000.0,617.0,6,4.336,6,19364.230000000003,6,40.271,6,56655.18000000001,6,14037.89,5,1440000.0,6
MI,White,Not Hispanic or Latino,Joint,65-74,Conventional:Subordinate Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Medio ($265K-$485K),Bajo (<79.7%),Normal (0 a 1.29),Medio (30%-50%),Bajo,4,600000.0,408.0,4,2.1199999999999997,4,,0,34.28,4,,0,,0,1700000.0,4
MI,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Denied,Risk-based leakage,Credit application incomplete,False,Alto ($146K+),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Medio,1,195000.0,147.0,1,,0,,0,,0,,0,,0,235000.0,1
MI,Black or African American,Not Hispanic or Latino,Male,35-44,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,3,645000.0,198.0,3,,0,,0,,0,,0,,0,,0
CA,White,Hispanic or Latino,Male,25-34,VA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Mejor que el mercado (<0),Medio (30%-50%),Bajo,5,1645000.0,342.0,5,-3.4465,5,2576.75,5,28.24,5,32328.53,5,8328.0,4,1655000.0,5
CA,White,Hispanic or Latino,Female,<25,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,1,385000.0,121.0,1,0.636,1,10740.08,1,6.99,1,14951.38,1,8900.08,1,415000.0,1
CA,White,Not Hispanic or Latino,Female,65-74,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,8,1130000.0,455.0,8,,0,,0,,0,,0,,0,,0
NJ,White,Not Hispanic or Latino,Male,55-64,Conventional:Subordinate Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Medio ($76K-$146K),Bajo (<$205K),Alto ($485K+),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Medio,1,105000.0,135.0,1,,0,,0,,0,,0,,0,755000.0,1
NJ,White,Not Hispanic or Latino,Male,25-34,FHA:First Lien,Approved not accepted,Process-based leakage,Not applicable,True,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Alto (50%+),Alto,1,765000.0,176.0,1,0.741,1,,0,6.875,1,,0,,0,935000.0,1
NJ,White,Ethnicity Not Available,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Medio ($265K-$485K),Medio (79.7%-94.3%),Mejor que el mercado (<0),Medio (30%-50%),Alto,1,405000.0,101.0,1,-0.143,1,11051.0,1,6.75,1,14935.85,1,8861.0,1,445000.0,1
WI,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Preapproval denied,Process-based leakage,Credit history,False,Alto ($146K+),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Sin dato de área,1,265000.0,149.0,1,,0,,0,,0,,0,,0,325000.0,1
NC,Black or African American,Not Hispanic or Latino,Female,45-54,Conventional:Subordinate Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Medio ($265K-$485K),Bajo (<79.7%),Elevado (>1.29) — mayor abandono,Medio (30%-50%),Medio,3,155000.0,346.0,3,7.52,3,0.0,2,25.74,3,400.0,2,,0,1085000.0,3
NC,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Bajo (<30%),Medio,2,280000.0,234.0,2,0.408,2,4523.75,2,13.125,2,9985.32,2,1993.75,2,1130000.0,2
NC,Black or African American,Not Hispanic or Latino,Male,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Medio,1,315000.0,195.0,1,-0.67195,1,1235.34,1,5.875,1,1420.34,1,1235.34,1,545000.0,1
TX,White,Ethnicity Not Available,Male,25-34,Conventional:Subordinate Lien,Denied,Risk-based leakage,Collateral,False,Alto ($146K+),Bajo (<$205K),Alto ($485K+),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Medio,1,125000.0,230.0,1,,0,,0,,0,,0,,0,495000.0,1
TX,Asian,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,17,10955000.0,4157.0,17,8.267,17,82246.95999999999,17,119.6,17,172009.18000000002,17,43026.47,10,12465000.0,17
MI,Race Not Available,Ethnicity Not Available,Male,55-64,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,2,810000.0,263.0,2,,0,,0,,0,,0,,0,,0
MI,White,Ethnicity Not Available,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,810000.0,588.0,2,1.606,2,6598.0,2,13.75,2,11675.0,2,4000.0,2,810000.0,2
CA,White,Hispanic or Latino,Female,25-34,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,23,11085000.0,2578.0,23,,0,,0,,0,,0,,0,,0
NJ,Race Not Available,Ethnicity Not Available,Joint,45-54,Conventional:First Lien,Denied,Risk-based leakage,Collateral,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,1245000.0,659.0,1,,0,,0,,0,,0,,0,1565000.0,1
NJ,Race Not Available,Ethnicity Not Available,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Mejor que el mercado (<0),Medio (30%-50%),Alto,1,185000.0,105.0,1,-0.083,1,4038.94,1,6.25,1,7179.14,1,,0,195000.0,1
NY,White,Not Hispanic or Latino,Joint,65-74,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,2,200000.0,95.0,2,2.134,2,1209.74,2,13.0,2,2617.26,1,486.28,2,220000.0,2
WI,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,840000.0,439.0,2,0.866,2,14589.06,2,14.875,2,18026.54,2,14164.06,1,880000.0,2
WI,White,Not Hispanic or Latino,Joint,55-64,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Bajo (<$76K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Medio,1,205000.0,34.0,1,,0,,0,,0,,0,,0,435000.0,1
WI,White,Joint,Joint,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,3,415000.0,275.0,3,1.909,3,2385.0,3,19.325,3,7033.5,3,,0,455000.0,3
WI,Black or African American,Not Hispanic or Latino,Male,35-44,Conventional:Subordinate Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,1,175000.0,45.0,1,,0,,0,,0,,0,,0,,0
MI,Race Not Available,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,1,295000.0,120.0,1,0.554,1,4839.83,1,6.875,1,7157.43,1,3711.83,1,325000.0,1
MI,White,Not Hispanic or Latino,Joint,55-64,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Bajo,2,590000.0,191.0,2,,0,,0,,0,,0,,0,810000.0,2
MI,Black or African American,Not Hispanic or Latino,Male,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,1,305000.0,169.0,1,,0,,0,,0,,0,,0,,0
OH,Race Not Available,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Medio,2,580000.0,272.0,2,-0.88114,2,2221.84,2,11.25,2,5342.38,2,840.94,1,790000.0,2
OH,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Unknown,Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Medio,2,1100000.0,,0,-1.53674,2,9133.88,2,12.0,2,15977.18,2,6836.88,1,1530000.0,2
OH,Asian,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Bajo,3,915000.0,298.0,3,-0.53715,3,13282.73,3,18.749,3,22241.53,3,10806.73,3,1345000.0,3
OH,White,Not Hispanic or Latino,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Alto (50%+),Bajo,1,315000.0,185.0,1,-0.603,1,4590.0,1,5.75,1,7572.5,1,3150.0,1,535000.0,1
OH,Asian,Not Hispanic or Latino,Female,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Mejor que el mercado (<0),Bajo (<30%),Bajo,1,615000.0,570.0,1,-0.147,1,1440.0,1,6.475,1,4624.55,1,,0,645000.0,1
OH,White,Not Hispanic or Latino,Female,45-54,Conventional:First Lien,Denied,Risk-based leakage,Credit history,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Bajo,1,335000.0,92.0,1,,0,,0,,0,,0,,0,365000.0,1
FL,White,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,6,1010000.0,348.0,6,3.5869999999999997,6,17002.67,6,39.373999999999995,6,35159.77,6,8355.67,4,1120000.0,6
FL,White,Hispanic or Latino,Male,55-64,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Bajo (<30%),Bajo,3,1945000.0,2829.0,3,1.9170000000000005,3,5793.1,3,22.575,3,21992.72,3,1528.1,2,2045000.0,3
FL,White,Not Hispanic or Latino,Female,45-54,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,7,3075000.0,758.0,7,,0,,0,,0,,0,,0,,0
AZ,Race Not Available,Hispanic or Latino,Joint,35-44,FHA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Elevado (>1.29) — mayor abandono,Bajo (<30%),Bajo,1,245000.0,118.0,1,1.893,1,6300.89,1,7.625,1,13899.01,1,3068.39,1,255000.0,1
AZ,Race Not Available,Ethnicity Not Available,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,5,1715000.0,558.0,5,3.247,5,32987.119999999995,5,32.72,5,48158.32,5,25187.12,5,1765000.0,5
NJ,Race Not Available,Ethnicity Not Available,Male,25-34,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Unknown (Withdrawn/Incomplete),Alto (50%+),Alto,1,435000.0,90.0,1,,0,,0,,0,,0,,0,575000.0,1
NJ,Race Not Available,Ethnicity Not Available,Female,25-34,FHA:First Lien,Approved not accepted,Process-based leakage,Not applicable,True,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Alto (50%+),Alto,1,385000.0,81.0,1,0.111,1,,0,5.625,1,,0,,0,425000.0,1
NJ,Race Not Available,Ethnicity Not Available,Sex Not Available,35-44,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Alto,6,740000.0,302.0,6,,0,,0,,0,,0,,0,,0
NJ,White,Not Hispanic or Latino,Male,45-54,FHA:First Lien,Denied,Risk-based leakage,Other,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Alto,1,315000.0,95.0,1,,0,,0,,0,,0,,0,325000.0,1
